125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x5314715 --> 193.170.87.146 C:\LASET\PREDICTS x5314715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x5414715 --> 193.170.87.146 C:\LASET\PREDICTS x5414715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x5514715 --> 193.170.87.146 C:\LASET\PREDICTS x5514715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x5614715 --> 193.170.87.146 C:\LASET\PREDICTS x5614715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x5714715 --> 193.170.87.146 C:\LASET\PREDICTS x5714715
125.05.27 21:23 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1014718 --> 193.170.87.146 C:\LASET\PREDICTS x1014718
125.05.27 21:23 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1114718 --> 193.170.87.146 C:\LASET\PREDICTS x1114718
125.05.27 21:24 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1214718 --> 193.170.87.146 C:\LASET\PREDICTS x1214718
125.05.27 21:24 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1314718 --> 193.170.87.146 C:\LASET\PREDICTS x1314718
125.05.27 21:24 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1414718 --> 193.170.87.146 C:\LASET\PREDICTS x1414718
125.05.27 21:24 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1514718 --> 193.170.87.146 C:\LASET\PREDICTS x1514718
125.05.27 21:24 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1614718 --> 193.170.87.146 C:\LASET\PREDICTS x1614718
125.05.27 21:24 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1714718 --> 193.170.87.146 C:\LASET\PREDICTS x1714718
125.05.27 21:24 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1814718 --> 193.170.87.146 C:\LASET\PREDICTS x1814718
125.05.27 21:24 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1914718 --> 193.170.87.146 C:\LASET\PREDICTS x1914718
125.05.27 21:24 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2014718 --> 193.170.87.146 C:\LASET\PREDICTS x2014718
125.05.27 21:24 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2114718 --> 193.170.87.146 C:\LASET\PREDICTS x2114718
125.05.27 21:24 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2214718 --> 193.170.87.146 C:\LASET\PREDICTS x2214718
125.05.27 21:24 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2314718 --> 193.170.87.146 C:\LASET\PREDICTS x2314718
125.05.27 21:24 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2414718 --> 193.170.87.146 C:\LASET\PREDICTS x2414718
125.05.27 21:24 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2514718 --> 193.170.87.146 C:\LASET\PREDICTS x2514718
125.05.27 21:24 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2614718 --> 193.170.87.146 C:\LASET\PREDICTS x2614718
